travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,1,0,0,0,-0.6666666666666666,"-0.27739380849532036,-0.6666590586178608"
0.7,20,Human,1,0,0,0,-0.7,"-0.284060475161987,-0.7004393114137452"
0.75,21,Human,1,0,0,0,-0.75,"-0.404060475161987,-0.7501910071959187"
1.7,1,Human,0,0,0,1,-1.7,"-1.3104737501095494,-0.5296597072234221"
1.8166666666666667,2,Human,0,0,0,2,-1.8166666666666667,"-1.6776504108350694,-0.4597413006959443"
1.8333333333333333,3,Human,0,0,0,3,-1.8333333333333333,"-1.8080824941424298,-0.5215263738900888"
0.8666666666666667,4,Human,1,0,0,4,-0.8666666666666667,"-0.8495320374370051,-0.8672036084304584"
0.9,5,Human,1,0,0,5,-0.9,"-0.5507271418286537,-0.8954182852147272"
1.0166666666666666,6,Human,1,0,0,6,-1.0166666666666666,"-0.5225817134629229,-1.011879888702449"
1.0833333333333333,7,Human,1,0,0,7,-1.0833333333333333,"-1.801637528648505,-0.8030302126229902"
1.7833333333333334,8,Human,0,0,0,8,-1.7833333333333334,"-1.8035562127684561,-0.8216593700983923"
1.8166666666666667,9,Human,0,0,0,9,-1.8166666666666667,"-1.8196196408236778,-0.5284079673626111"
1.1666666666666667,10,Human,1,0,0,10,-1.1666666666666667,"-0.5340604751619871,-1.1684415076121448"
1.8,11,Human,0,0,0,11,-1.8,"-1.820888157629949,-0.6949930405567556"
1.1833333333333333,12,Human,1,0,0,12,-1.1833333333333333,"-0.5573938084953203,-1.193408943342208"
1.2,13,Human,1,0,0,13,-1.2,"-1.0048653707703386,-1.2133716019954668"
1.2333333333333334,14,Human,1,0,0,14,-1.2333333333333334,"-0.7992483801295897,-1.2395769453766408"
1.3166666666666667,15,Human,1,0,0,15,-1.3166666666666667,"-0.7779150467962563,-1.3296173640942384"
1.3333333333333333,16,Human,1,0,0,16,-1.3333333333333333,"-0.9611320374370051,-1.361217091896643"
1.35,17,Human,1,0,0,17,-1.35,"-0.955932037437005,-1.36566690882713"
1.45,18,Human,1,0,0,18,-1.45,"-0.5273938084953204,-1.4169452396377262"
1.5,19,Human,1,0,0,19,-1.5,"-0.2217422606191504,-1.4962566245872142"
