travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,1,0,0,0,-0.6666666666666666,"-0.2217422606191504,-0.5548764367650589"
0.7,20,Human,1,0,0,0,-0.7,"-0.2217422606191504,-0.5805639034317255"
0.75,21,Human,1,0,0,0,-0.75,"-0.404060475161987,-0.5829555459563237"
1.5333333333333334,1,Human,0,0,0,1,-1.5333333333333334,"-0.9880738372930167,-0.3588432925365971"
1.8333333333333333,2,Human,0,0,0,2,-1.8333333333333333,"-1.3788430698344134,-0.240220782337413"
0.8166666666666667,3,Human,1,0,0,3,-0.8166666666666667,"-1.27915117062635,-0.3555099592032638"
0.8666666666666667,4,Human,1,0,0,4,-0.8666666666666667,"-0.2217422606191504,-0.7035399034317256"
0.9,5,Human,1,0,0,5,-0.9,"-0.2217422606191504,-0.726428436765059"
1.0,6,Human,1,0,0,6,-1.0,"-0.2217422606191504,-0.808700436765059"
1.8,7,Human,0,0,0,7,-1.8,"-1.1612256299496042,-0.5410746340292777"
1.8166666666666667,8,Human,0,0,0,8,-1.8166666666666667,"-1.3792174698344135,-0.240220782337413"
1.05,9,Human,1,0,0,9,-1.05,"-1.2802925039596833,-0.4021766258699304"
1.1666666666666667,10,Human,1,0,0,10,-1.1666666666666667,"-0.2217422606191504,-0.9238044367650591"
1.8,11,Human,0,0,0,11,-1.8,"-1.2770338372930168,-0.4255099592032638"
1.1833333333333333,12,Human,1,0,0,12,-1.1833333333333333,"-0.2217422606191504,-0.9423313700983923"
1.2,13,Human,1,0,0,13,-1.2,"-0.2217422606191504,-0.9574279034317256"
1.2333333333333334,14,Human,1,0,0,14,-1.2333333333333334,"-0.2217422606191504,-0.9751921700983923"
1.35,15,Human,1,0,0,15,-1.35,"-0.2217422606191504,-1.0530535034317257"
1.3666666666666667,16,Human,1,0,0,16,-1.3666666666666667,"-0.5173938084953204,-0.9930942126229905"
1.3666666666666667,17,Human,1,0,0,17,-1.3666666666666667,"-0.5207271418286537,-0.9992595459563236"
1.4166666666666667,18,Human,1,0,0,18,-1.4166666666666667,"-0.5273938084953204,-1.0209075459563237"
1.5166666666666666,19,Human,1,0,0,19,-1.5166666666666666,"-0.2217422606191504,-1.1595217700983922"
