travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6666666666666666,0,Human,1,0,0,0,-0.6666666666666666,"-0.27739380849532036,-0.6627333976219124"
0.7166666666666667,20,Human,1,0,0,0,-0.7166666666666667,"-0.2217422606191504,-0.7026381727500035"
0.7666666666666667,21,Human,1,0,0,0,-0.7666666666666667,"-0.404060475161987,-0.7484023850297213"
1.1666666666666667,1,Human,0,0,0,1,-1.1666666666666667,"-1.2010559612999552,-0.45374130069594437"
0.85,2,Human,1,0,0,2,-0.85,"-1.6048782548625145,-0.36217662586993044"
1.8,3,Human,0,0,0,3,-1.8,"-1.6791394436632654,-0.3555099592032638"
0.8833333333333333,4,Human,1,0,0,4,-0.8833333333333333,"-0.7785817134629229,-0.8649196134414023"
0.9,5,Human,1,0,0,5,-0.9,"-0.5507271418286537,-0.8945087238394435"
1.0166666666666666,6,Human,1,0,0,6,-1.0166666666666666,"-0.39072714182865365,-1.0048374680581478"
1.8,7,Human,0,0,0,7,-1.8,"-1.7727013461680998,-0.6495263738900888"
1.8,8,Human,0,0,0,8,-1.8,"-1.791173976796453,-0.39550995920326376"
1.8166666666666667,9,Human,0,0,0,9,-1.8166666666666667,"-1.8055807917597495,-0.4021766258699304"
1.1666666666666667,10,Human,1,0,0,10,-1.1666666666666667,"-0.2217422606191504,-1.1613458977323243"
1.8166666666666667,11,Human,0,0,0,11,-1.8166666666666667,"-1.80406054975509,-0.5770746340292777"
1.1666666666666667,12,Human,1,0,0,12,-1.1666666666666667,"-0.5573938084953203,-1.1788799146232558"
1.2166666666666666,13,Human,1,0,0,13,-1.2166666666666666,"-0.8019150467962564,-1.2055319340856367"
1.2333333333333334,14,Human,1,0,0,14,-1.2333333333333334,"-0.7992483801295897,-1.2260029345029584"
1.3333333333333333,15,Human,1,0,0,15,-1.3333333333333333,"-0.514060475161987,-1.3171379931232463"
1.35,16,Human,1,0,0,16,-1.35,"-0.5173938084953204,-1.3437668114035246"
1.3666666666666667,17,Human,1,0,0,17,-1.3666666666666667,"-0.7532483801295896,-1.3497409162846068"
1.4166666666666667,18,Human,1,0,0,18,-1.4166666666666667,"-0.5273938084953204,-1.398811062902492"
1.5,19,Human,1,0,0,19,-1.5,"-0.2217422606191504,-1.484424832798377"
